Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,155.00,-,-,-,19.75,-,51.20,-,-,-,-,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,160.00,-,-,-,40.00,40.00,46.25,-,-,-,5400.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,162.50,-,-,-,21.00,21.00,43.80,-,-,-,5400.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,165.00,-,-,-,34.80,34.80,41.35,-,-,-,21600.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,167.50,-,-,-,22.55,22.55,38.90,-,-,-,5400.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,170.00,37.50,38.85,35.70,35.70,35.70,36.45,5.00,55.94,10.04,226800.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,172.50,-,-,-,18.90,18.90,34.05,-,-,-,37800.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,175.00,34.25,34.25,31.15,31.15,31.15,31.70,4.00,44.98,7.18,324000.00,-21600.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,177.50,-,-,-,29.25,29.25,29.35,-,-,-,64800.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,180.00,26.20,29.50,26.20,26.75,26.70,26.75,26.00,292.12,39.40,1312200.00,-21600.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,182.50,-,-,-,23.40,23.40,24.85,-,-,-,129600.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,185.00,24.00,24.00,20.90,20.90,20.90,22.70,3.00,33.67,3.70,707400.00,-10800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,187.50,20.95,20.95,19.00,19.00,19.00,20.60,3.00,33.60,3.23,86400.00,-16200.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,190.00,19.70,19.70,16.65,18.00,18.20,18.00,95.00,1065.02,90.32,1069200.00,-226800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,192.50,-,-,-,15.90,15.90,16.70,-,-,-,280800.00,-,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,195.00,15.00,15.20,12.60,14.00,14.00,14.00,49.00,552.57,36.60,723600.00,-145800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,197.50,12.80,13.50,12.80,12.80,12.80,13.25,4.00,45.46,2.80,205200.00,5400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,200.00,10.30,12.80,9.15,10.65,10.75,10.65,960.00,10938.94,570.94,3272400.00,-761400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,202.50,9.50,11.15,7.90,9.05,9.05,9.05,127.00,1453.70,64.96,135000.00,-5400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,205.00,8.85,9.70,6.55,7.75,7.85,7.75,830.00,9543.00,354.90,1485000.00,286200.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,207.50,7.05,8.35,5.55,6.60,6.70,6.60,341.00,3951.63,130.73,588600.00,75600.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,210.00,5.55,7.10,4.60,5.45,5.55,5.45,1795.00,20928.52,573.22,3164400.00,-604800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,212.50,4.95,6.10,4.00,5.00,5.00,5.65,93.00,1093.38,26.20,205200.00,54000.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,215.00,4.20,5.15,3.25,3.90,4.00,3.90,706.00,8358.43,161.77,2111400.00,16200.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,217.50,3.40,4.10,2.70,3.20,3.25,3.20,86.00,1026.40,16.33,874800.00,-37800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,220.00,2.60,3.60,2.10,2.75,2.80,2.75,954.00,11482.45,148.93,2305800.00,977400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,222.50,2.65,2.85,1.90,2.25,2.30,2.25,23.00,279.27,2.92,70200.00,-5400.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,225.00,2.00,2.50,1.50,1.85,1.95,1.85,382.00,4682.07,40.77,1382400.00,199800.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,227.50,1.50,2.05,1.25,1.65,1.65,1.90,101.00,1249.66,8.87,761400.00,-124200.00,205.55
ABCAPITAL,04-Apr-2024,25-Apr-2024,CE,230.00,1.50,1.70,1.00,1.25,1.25,1.25,187.00,2335.38,12.84,545400.00,545400.00,205.55
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,145.00,-,-,-,61.00,61.00,60.40,-,-,-,-,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,150.00,-,-,-,28.00,28.00,55.40,-,-,-,5400.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,155.00,-,-,-,19.75,-,50.45,-,-,-,-,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,160.00,-,-,-,40.00,40.00,45.45,-,-,-,5400.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,162.50,-,-,-,21.00,21.00,43.00,-,-,-,5400.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,165.00,-,-,-,34.80,34.80,40.55,-,-,-,21600.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,167.50,-,-,-,22.55,22.55,38.10,-,-,-,5400.00,-,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,170.00,35.00,35.00,35.00,35.00,35.00,35.65,1.00,11.07,1.89,221400.00,-5400.00,204.80
ABCAPITAL,05-Apr-2024,25-Apr-2024,CE,172.50,-,-,-,18.90,18.90,33.25,-,-,-,37800.00,-,204.80
